M,mode,final_pose_error_mean,final_pose_error_ci95,final_weighted_error_mean,final_weighted_error_ci95,final_da_entropy_mean,final_da_entropy_ci95,final_cov_det_mean,final_cov_det_ci95,active_hypotheses_mean,active_hypotheses_ci95,step_time_ms_mean,step_time_ms_ci95,trial_time_p95_s,trial_time_max_s,visibility_recoveries
1,viewpoint_dependent,0.6525993323572271,0.0556624162093761,0.6560882505180055,0.055254018637410064,2.664837950731462,0.4027660549047318,0.017153778772355834,0.0026764869750774394,32.58909090909091,9.54614952113236,244.3177107134543,80.73330394020954,6.687227857096874,9.962793912010966,0
1,geometric_only,0.7777367470103506,0.10005664586288042,0.7778479351482324,0.0990842527898557,3.7493691314224953,0.2434523317422915,0.023472332987216148,0.004284216333308628,59.80772727272728,7.467733310714487,207.94465121201355,39.28428501319697,3.8789874174864964,5.189679261005949,0
2,viewpoint_dependent,0.6540560856845579,0.05637758194854818,0.6546930280650677,0.05523830684882684,1.5174529068407385,0.5000375544757678,0.0171533380954458,0.0026571619331068027,15.064454545454547,8.389099016616562,142.94933981845097,70.35194249669564,4.922007582399208,9.14930235099746,0
2,geometric_only,0.7777367470103506,0.10005664586288042,0.7778479351482324,0.0990842527898557,3.7493691314224953,0.2434523317422915,0.023472332987216148,0.004284216333308628,59.80772727272728,7.467733310714487,208.21166920517572,39.47332644328546,3.8786836114013554,5.182502827985445,0
3,viewpoint_dependent,0.6812619562144013,0.06984593731817244,0.680179523035988,0.07015247335750363,1.0639351444568246,0.4180094100944425,0.017146989196499422,0.0026546865358335805,9.538999999999998,6.49601607425416,114.1438295784028,60.43645673503513,3.5956489060088543,8.908184708998306,0
3,geometric_only,0.7777367470103506,0.10005664586288042,0.7778479351482324,0.0990842527898557,3.7493691314224953,0.2434523317422915,0.023472332987216148,0.004284216333308628,59.80772727272728,7.467733310714487,208.02671631913108,39.47170513858193,3.903466377200675,5.193372391018784,0
4,viewpoint_dependent,0.6632901366740085,0.06646983270638764,0.6665876897756671,0.06553075076608147,0.6016234054466045,0.38496090888034745,0.01714478008818158,0.0026594984633758387,6.346454545454546,5.245916864543902,98.51723305265477,52.4585148311972,3.343196248066662,8.430789314996218,0
4,geometric_only,0.7777367470103506,0.10005664586288042,0.7778479351482324,0.0990842527898557,3.7493691314224953,0.2434523317422915,0.023472332987216148,0.004284216333308628,59.80772727272728,7.467733310714487,207.82898094833072,39.25351225753653,3.8785523177532006,5.174546059977729,0
5,viewpoint_dependent,0.6889066453680968,0.06858194921386394,0.6902272682342125,0.06841978698943078,0.474268193354599,0.33297996154381543,0.017158744358065366,0.0026582824157168447,4.884181818181817,4.689914683600464,91.1288343994238,52.04487925029699,2.2824106814456093,8.819065997027792,0
5,geometric_only,0.7777367470103506,0.10005664586288042,0.7778479351482324,0.0990842527898557,3.7493691314224953,0.2434523317422915,0.023472332987216148,0.004284216333308628,59.80772727272728,7.467733310714487,208.09094901344506,39.3557945291906,3.8712178703994136,5.191089913016185,0
